iter	Passed	Remaining
0	7	7545
1	14	7438
2	22	7412
3	27	6891
4	33	6569
5	38	6357
6	43	6160
7	48	6044
8	53	5919
9	58	5825
10	63	5710
11	67	5589
12	72	5501
13	76	5415
14	80	5311
15	84	5227
16	88	5139
17	92	5040
18	96	4966
19	99	4898
20	103	4844
21	107	4788
22	111	4732
23	114	4658
24	117	4601
25	121	4549
26	124	4492
27	128	4447
28	131	4415
29	135	4383
30	139	4347
31	142	4310
32	146	4281
33	149	4239
34	152	4197
35	155	4164
36	159	4140
37	162	4120
38	166	4097
39	169	4077
40	173	4060
41	176	4035
42	180	4012
43	183	3994
44	187	3975
45	190	3955
46	194	3937
47	197	3921
48	201	3904
49	204	3885
50	207	3868
51	211	3851
52	214	3835
53	218	3820
54	221	3807
55	224	3782
56	227	3766
57	231	3753
58	234	3745
59	238	3736
60	242	3731
61	248	3762
62	255	3796
63	260	3815
64	266	3826
65	271	3836
66	276	3849
67	281	3860
68	287	3876
69	292	3891
70	298	3901
71	304	3918
72	308	3923
73	313	3926
74	317	3919
75	322	3922
76	326	3913
77	331	3919
78	335	3911
79	339	3903
80	343	3895
81	346	3884
82	350	3874
83	354	3868
84	358	3858
85	362	3849
86	365	3836
87	369	3827
88	372	3812
89	375	3798
90	378	3784
91	382	3770
92	385	3759
93	389	3750
94	392	3740
95	395	3724
96	398	3713
97	402	3700
98	405	3687
99	408	3674
100	411	3663
101	414	3653
102	418	3642
103	421	3630
104	424	3619
105	427	3608
106	431	3599
107	434	3589
108	437	3577
109	440	3566
110	443	3553
111	446	3539
112	449	3526
113	452	3514
114	454	3500
115	457	3489
116	460	3476
117	463	3465
118	466	3451
119	469	3441
120	472	3431
121	475	3421
122	478	3411
123	481	3402
124	484	3392
125	488	3387
126	491	3381
127	494	3371
128	497	3361
129	500	3351
130	503	3342
131	506	3331
132	509	3321
133	512	3311
134	515	3301
135	517	3290
136	520	3281
137	523	3270
138	526	3260
139	529	3252
140	532	3243
141	535	3234
142	538	3225
143	541	3216
144	543	3207
145	546	3199
146	550	3192
147	553	3185
148	557	3182
149	560	3174
150	563	3166
151	566	3159
152	569	3151
153	572	3145
154	575	3138
155	579	3132
156	581	3124
157	585	3119
158	588	3110
159	591	3104
160	594	3097
161	597	3090
162	600	3082
163	602	3073
164	606	3066
165	609	3060
166	611	3052
167	615	3046
168	618	3039
169	621	3034
170	624	3028
171	627	3022
172	630	3015
173	633	3008
174	636	3002
175	640	2997
176	642	2989
177	645	2980
178	648	2975
179	651	2969
180	654	2962
181	657	2956
182	660	2948
183	663	2942
184	666	2935
185	668	2927
186	671	2920
187	674	2913
188	677	2907
189	680	2903
190	683	2896
191	686	2889
192	689	2884
193	692	2879
194	695	2872
195	698	2866
196	701	2859
197	704	2855
198	708	2850
199	711	2845
200	714	2840
201	717	2832
202	719	2826
203	723	2821
204	726	2816
205	729	2813
206	733	2808
207	736	2803
208	740	2800
209	743	2796
210	746	2792
211	750	2789
212	753	2783
213	756	2779
214	759	2774
215	763	2772
216	766	2766
217	769	2762
218	773	2757
219	775	2751
220	779	2745
221	782	2740
222	784	2734
223	787	2729
224	791	2725
225	794	2721
226	798	2718
227	801	2712
228	804	2707
229	807	2702
230	810	2697
231	813	2693
232	816	2688
233	819	2683
234	822	2678
235	825	2673
236	828	2668
237	831	2662
238	834	2656
239	836	2650
240	839	2644
241	842	2639
242	845	2633
243	848	2627
244	850	2621
245	853	2616
246	856	2609
247	858	2604
248	861	2599
249	864	2594
250	867	2588
251	870	2583
252	873	2578
253	876	2573
254	879	2569
255	882	2563
256	884	2558
257	887	2553
258	890	2548
259	893	2544
260	896	2539
261	899	2533
262	901	2527
263	904	2521
264	907	2516
265	910	2512
266	913	2506
267	915	2501
268	918	2495
269	921	2490
270	923	2484
271	926	2479
272	928	2473
273	931	2468
274	934	2462
275	936	2456
276	939	2452
277	942	2447
278	945	2442
279	947	2436
280	949	2430
281	952	2424
282	954	2419
283	957	2414
284	960	2408
285	962	2403
286	965	2398
287	967	2392
288	970	2387
289	972	2382
290	975	2377
291	979	2376
292	983	2372
293	985	2367
294	988	2363
295	992	2359
296	994	2353
297	997	2349
298	1000	2345
299	1003	2340
300	1006	2337
301	1009	2333
302	1011	2327
303	1014	2323
304	1017	2317
305	1020	2314
306	1024	2313
307	1028	2310
308	1031	2307
309	1034	2302
310	1036	2296
311	1040	2293
312	1043	2289
313	1045	2284
314	1048	2279
315	1050	2274
316	1054	2271
317	1056	2265
318	1058	2260
319	1061	2256
320	1064	2252
321	1067	2247
322	1070	2243
323	1073	2239
324	1076	2235
325	1079	2231
326	1081	2225
327	1084	2221
328	1086	2216
329	1089	2212
330	1092	2207
331	1094	2202
332	1097	2197
333	1099	2192
334	1102	2187
335	1104	2183
336	1107	2178
337	1110	2174
338	1113	2170
339	1115	2165
340	1118	2160
341	1120	2156
342	1123	2152
343	1126	2148
344	1128	2143
345	1131	2138
346	1134	2134
347	1136	2129
348	1139	2125
349	1142	2121
350	1144	2116
351	1147	2112
352	1150	2107
353	1153	2104
354	1155	2099
355	1157	2094
356	1160	2089
357	1162	2085
358	1165	2081
359	1168	2076
360	1170	2072
361	1173	2068
362	1176	2064
363	1179	2060
364	1181	2055
365	1184	2051
366	1187	2047
367	1190	2043
368	1192	2039
369	1195	2035
370	1197	2031
371	1200	2026
372	1203	2022
373	1206	2018
374	1208	2014
375	1211	2010
376	1214	2006
377	1216	2002
378	1219	1997
379	1221	1993
380	1224	1989
381	1226	1985
382	1229	1980
383	1232	1976
384	1234	1972
385	1237	1968
386	1240	1965
387	1243	1960
388	1246	1957
389	1248	1953
390	1251	1949
391	1254	1946
392	1257	1942
393	1260	1938
394	1263	1935
395	1267	1933
396	1270	1930
397	1273	1926
398	1276	1923
399	1279	1919
400	1283	1916
401	1285	1912
402	1288	1908
403	1291	1904
404	1293	1900
405	1296	1897
406	1299	1892
407	1301	1888
408	1304	1884
409	1307	1881
410	1309	1877
411	1312	1873
412	1315	1869
413	1318	1865
414	1320	1861
415	1323	1857
416	1326	1854
417	1328	1849
418	1331	1846
419	1333	1841
420	1336	1838
421	1339	1834
422	1341	1830
423	1344	1826
424	1346	1822
425	1349	1818
426	1352	1814
427	1355	1811
428	1357	1807
429	1360	1802
430	1362	1799
431	1365	1795
432	1368	1791
433	1371	1788
434	1373	1784
435	1376	1780
436	1378	1776
437	1382	1773
438	1384	1769
439	1387	1765
440	1390	1762
441	1393	1759
442	1396	1755
443	1399	1752
444	1401	1748
445	1404	1744
446	1407	1740
447	1409	1737
448	1412	1733
449	1415	1730
450	1418	1726
451	1420	1722
452	1423	1718
453	1426	1715
454	1428	1711
455	1431	1707
456	1434	1704
457	1437	1700
458	1439	1697
459	1442	1693
460	1445	1690
461	1448	1686
462	1451	1683
463	1453	1679
464	1456	1675
465	1459	1672
466	1461	1668
467	1464	1664
468	1467	1661
469	1469	1657
470	1472	1654
471	1475	1650
472	1478	1646
473	1481	1643
474	1484	1640
475	1486	1636
476	1489	1633
477	1492	1630
478	1495	1626
479	1498	1623
480	1500	1619
481	1503	1615
482	1505	1611
483	1510	1610
484	1514	1608
485	1517	1605
486	1521	1602
487	1525	1600
488	1528	1597
489	1531	1594
490	1534	1591
491	1538	1588
492	1541	1584
493	1543	1581
494	1546	1577
495	1549	1574
496	1552	1571
497	1555	1568
498	1558	1564
499	1561	1561
500	1564	1557
501	1567	1554
502	1569	1551
503	1572	1547
504	1575	1543
505	1577	1540
506	1580	1537
507	1583	1533
508	1586	1530
509	1588	1526
510	1591	1523
511	1594	1519
512	1597	1516
513	1600	1513
514	1602	1509
515	1606	1506
516	1608	1502
517	1611	1499
518	1613	1495
519	1616	1492
520	1619	1488
521	1621	1485
522	1624	1481
523	1626	1477
524	1629	1474
525	1632	1471
526	1635	1467
527	1637	1464
528	1640	1460
529	1643	1457
530	1645	1453
531	1648	1450
532	1651	1446
533	1653	1443
534	1656	1439
535	1659	1436
536	1662	1433
537	1664	1429
538	1667	1426
539	1669	1422
540	1672	1419
541	1675	1415
542	1678	1412
543	1681	1409
544	1683	1405
545	1686	1402
546	1689	1398
547	1691	1395
548	1694	1392
549	1697	1388
550	1699	1385
551	1702	1381
552	1705	1378
553	1707	1374
554	1710	1371
555	1713	1367
556	1715	1364
557	1718	1360
558	1720	1357
559	1723	1354
560	1726	1351
561	1729	1347
562	1732	1344
563	1734	1340
564	1737	1337
565	1740	1334
566	1742	1331
567	1745	1327
568	1748	1324
569	1750	1320
570	1753	1317
571	1756	1313
572	1758	1310
573	1761	1307
574	1763	1303
575	1766	1300
576	1769	1296
577	1771	1293
578	1774	1290
579	1777	1287
580	1780	1284
581	1783	1280
582	1786	1277
583	1788	1274
584	1791	1270
585	1794	1267
586	1796	1264
587	1799	1260
588	1805	1259
589	1808	1256
590	1812	1254
591	1815	1251
592	1819	1248
593	1822	1245
594	1825	1242
595	1828	1239
596	1830	1235
597	1833	1232
598	1836	1229
599	1838	1225
600	1841	1222
601	1844	1219
602	1846	1215
603	1849	1212
604	1852	1209
605	1855	1206
606	1857	1202
607	1860	1199
608	1863	1196
609	1866	1193
610	1868	1189
611	1871	1186
612	1874	1183
613	1876	1179
614	1879	1176
615	1882	1173
616	1885	1170
617	1888	1167
618	1890	1163
619	1893	1160
620	1896	1157
621	1898	1153
622	1901	1150
623	1904	1147
624	1907	1144
625	1910	1141
626	1913	1138
627	1916	1135
628	1919	1131
629	1921	1128
630	1924	1125
631	1927	1122
632	1929	1118
633	1932	1115
634	1934	1112
635	1937	1108
636	1940	1105
637	1942	1102
638	1945	1099
639	1948	1095
640	1950	1092
641	1953	1089
642	1956	1086
643	1958	1082
644	1961	1079
645	1964	1076
646	1967	1073
647	1969	1069
648	1972	1066
649	1974	1063
650	1977	1060
651	1980	1057
652	1983	1053
653	1986	1050
654	1988	1047
655	1991	1044
656	1993	1040
657	1996	1037
658	1999	1034
659	2001	1031
660	2004	1027
661	2007	1024
662	2009	1021
663	2012	1018
664	2015	1015
665	2017	1011
666	2020	1008
667	2023	1005
668	2026	1002
669	2029	999
670	2031	996
671	2034	993
672	2037	989
673	2039	986
674	2042	983
675	2045	980
676	2048	977
677	2051	974
678	2053	971
679	2056	967
680	2058	964
681	2061	961
682	2064	958
683	2067	954
684	2069	951
685	2072	948
686	2075	945
687	2077	942
688	2080	939
689	2083	936
690	2086	932
691	2088	929
692	2091	926
693	2094	923
694	2096	920
695	2099	916
696	2102	913
697	2104	910
698	2107	907
699	2109	904
700	2112	901
701	2115	898
702	2118	894
703	2121	891
704	2124	888
705	2127	885
706	2130	882
707	2132	879
708	2135	876
709	2137	873
710	2140	870
711	2142	866
712	2145	863
713	2148	860
714	2150	857
715	2153	854
716	2156	851
717	2158	847
718	2161	844
719	2164	841
720	2166	838
721	2169	835
722	2172	832
723	2174	829
724	2177	826
725	2180	822
726	2183	819
727	2185	816
728	2188	813
729	2190	810
730	2193	807
731	2195	803
732	2198	800
733	2201	797
734	2203	794
735	2206	791
736	2209	788
737	2212	785
738	2214	782
739	2217	779
740	2220	775
741	2223	772
742	2225	769
743	2228	766
744	2230	763
745	2233	760
746	2236	757
747	2239	754
748	2241	751
749	2244	748
750	2247	745
751	2250	742
752	2252	739
753	2255	735
754	2258	732
755	2260	729
756	2263	726
757	2266	723
758	2268	720
759	2271	717
760	2274	714
761	2277	711
762	2279	708
763	2283	705
764	2286	702
765	2291	700
766	2296	697
767	2300	694
768	2304	692
769	2308	689
770	2312	686
771	2315	683
772	2319	681
773	2322	678
774	2326	675
775	2329	672
776	2331	669
777	2334	666
778	2337	663
779	2340	660
780	2343	657
781	2345	653
782	2348	650
783	2351	647
784	2354	644
785	2356	641
786	2359	638
787	2361	635
788	2364	632
789	2367	629
790	2370	626
791	2373	623
792	2375	620
793	2378	616
794	2380	613
795	2383	610
796	2385	607
797	2388	604
798	2391	601
799	2393	598
800	2396	595
801	2398	592
802	2401	589
803	2404	586
804	2406	583
805	2409	580
806	2412	576
807	2414	573
808	2417	570
809	2420	567
810	2422	564
811	2425	561
812	2428	558
813	2430	555
814	2433	552
815	2436	549
816	2439	546
817	2441	543
818	2444	540
819	2446	537
820	2449	533
821	2451	530
822	2454	527
823	2456	524
824	2459	521
825	2462	518
826	2465	515
827	2467	512
828	2470	509
829	2473	506
830	2475	503
831	2478	500
832	2480	497
833	2483	494
834	2486	491
835	2488	488
836	2491	485
837	2493	482
838	2496	478
839	2498	475
840	2501	472
841	2503	469
842	2506	466
843	2509	463
844	2511	460
845	2513	457
846	2516	454
847	2518	451
848	2521	448
849	2524	445
850	2526	442
851	2529	439
852	2532	436
853	2535	433
854	2538	430
855	2541	427
856	2543	424
857	2546	421
858	2548	418
859	2551	415
860	2553	412
861	2556	409
862	2558	406
863	2561	403
864	2563	400
865	2566	397
866	2568	394
867	2571	391
868	2573	387
869	2576	384
870	2578	381
871	2581	378
872	2583	375
873	2586	372
874	2589	369
875	2591	366
876	2594	363
877	2596	360
878	2599	357
879	2601	354
880	2604	351
881	2606	348
882	2609	345
883	2611	342
884	2613	339
885	2616	336
886	2618	333
887	2621	330
888	2623	327
889	2626	324
890	2628	321
891	2631	318
892	2633	315
893	2636	312
894	2638	309
895	2641	306
896	2643	303
897	2645	300
898	2648	297
899	2650	294
900	2653	291
901	2655	288
902	2658	285
903	2660	282
904	2662	279
905	2665	276
906	2667	273
907	2670	270
908	2672	267
909	2675	264
910	2677	261
911	2680	258
912	2682	255
913	2685	252
914	2688	249
915	2690	246
916	2692	243
917	2695	240
918	2697	237
919	2700	234
920	2703	231
921	2705	228
922	2708	225
923	2710	222
924	2713	219
925	2715	217
926	2718	214
927	2720	211
928	2722	208
929	2725	205
930	2727	202
931	2730	199
932	2732	196
933	2735	193
934	2738	190
935	2744	187
936	2747	184
937	2750	181
938	2753	178
939	2756	175
940	2759	173
941	2761	170
942	2764	167
943	2766	164
944	2769	161
945	2772	158
946	2774	155
947	2777	152
948	2780	149
949	2782	146
950	2785	143
951	2788	140
952	2790	137
953	2793	134
954	2795	131
955	2798	128
956	2800	125
957	2803	122
958	2806	119
959	2808	117
960	2811	114
961	2814	111
962	2817	108
963	2820	105
964	2823	102
965	2825	99
966	2828	96
967	2831	93
968	2834	90
969	2837	87
970	2839	84
971	2842	81
972	2844	78
973	2846	75
974	2849	73
975	2852	70
976	2854	67
977	2857	64
978	2859	61
979	2861	58
980	2864	55
981	2866	52
982	2869	49
983	2871	46
984	2874	43
985	2876	40
986	2879	37
987	2881	34
988	2884	32
989	2886	29
990	2889	26
991	2891	23
992	2894	20
993	2897	17
994	2899	14
995	2902	11
996	2905	8
997	2908	5
998	2910	2
999	2912	0
